joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6
2.50868924415804,1.79868724488002,-1.61169330571632,1.18539462550749,-1.53359583627245,0.947488834660608
2.33198661289815,1.70268784748434,-1.62149157348555,1.37549088951059,-1.49559668136295,0.826889767688862
2.71139244931932,1.67307488281777,-1.24508279972737,0.98498431882099,-1.71918241963572,1.11328988575937
2.94099214107875,1.82809319904503,-1.10848271914581,0.819584698978382,-1.95408638754156,1.33188916123733
2.44439078012227,1.96029326537085,-1.50989194126739,1.18829008045022,-1.5868892250953,1.28118660643461
2.33198724533772,1.67178795183288,-1.20708114764539,1.28758815109666,-1.59579233026449,1.24248885221745
2.9104889354163,1.26798839942402,-1.25159497594219,0.870182704670595,-1.57177140827404,0.632785133731731
2.70108595641704,0.862988010970873,-1.22378412809779,1.17049430589423,-1.4691921162895,0.22798933501115
2.39718678115247,0.436887459697946,-0.972385770210282,1.5216858690123,-1.63058685117466,-0.001111191726044
2.3045881019207,0.357486325868552,-1.05829733826581,1.62499427313032,-1.69778063123901,-0.147710708054908
2.36449026416305,0.235285859558833,-1.3541962814087,1.63049513172088,-1.69658456279266,-0.509011395649618
2.63749157244813,0.321189930130516,-1.56678666347498,1.55258413408204,-1.42868307721485,-0.617812237420053
2.93049147182115,0.316185981372352,-1.84859582242343,1.65429379227377,-1.13398635333543,-0.895011039360935
2.77688799428575,0.827192251875321,-2.01219542125975,1.49328527538725,-1.20179252507448,-0.51400821603591
2.90399198280815,1.33819533264319,-2.03369174191553,1.13659072477728,-1.14768931858303,0.061188784004174
2.04658636651387,1.34709350974017,-1.79008428766718,1.78168839786929,-1.61887886184092,0.2305905033038
1.65368645651889,1.39469012134783,-2.0050937690182,2.16138966090368,-1.85738033241208,0.19288512154764
1.65709314908647,1.90399590397929,-2.4233936927608,2.20659170724039,-1.71949217856,0.374588645857426
0.981386974296218,1.79328471317568,-1.10588410666442,2.68879500274699,-0.703385108318736,1.1582900305274
0.849586719081617,0.813687858732613,-0.593582809711625,3.06469437645646,-1.48008617695714,1.74989308550789
1.93059106162316,-0.227315415436679,-0.347385277112866,1.99508426357015,-1.9729956637403,1.24898538563006
2.04509282451681,-0.844116331508183,-0.452103442304106,1.79678535786088,-2.16239365293991,1.28829397798549
1.89298647093431,-0.939803798730025,-0.240086617226531,1.93589401424381,-2.2458950547267,1.46009243154092
